,From,To,domain,label
22,AS55824 NKN Core Network,AS11537 Internet2,fearp.usp.br,1
23,AS11537 Internet2,AS1916 Rede Nacional de Ensino e Pesquisa,fearp.usp.br,1
24,AS1916 Rede Nacional de Ensino e Pesquisa,AS28571 UNIVERSIDADE DE SAO PAULO,fearp.usp.br,1
25,AS59193 IIT Hyderabad,"AS32934 Facebook, Inc.",facebook.com,1
26,AS59193 IIT Hyderabad,"AS32934 Facebook, Inc.",instagram.com,1
27,AS49981 WorldStream B.V.,AS15169 Google LLC,google.com,2
28,AS49981 WorldStream B.V.,AS15169 Google LLC,fitbit.com,2
29,AS15169 Google LLC,AS396982 Google LLC,fitbit.com,2
30,AS49981 WorldStream B.V.,AS201011 Core-Backbone GmbH,ed.ac.uk,2
31,AS201011 Core-Backbone GmbH,AS34984 Superonline Iletisim Hizmetleri A.S.,ed.ac.uk,2
32,AS34984 Superonline Iletisim Hizmetleri A.S.,AS786 Jisc Services Limited,ed.ac.uk,2
33,AS49981 WorldStream B.V.,AS6762 TELECOM ITALIA SPARKLE S.p.A.,harvard.edu,2
34,AS6762 TELECOM ITALIA SPARKLE S.p.A.,"AS54113 Fastly, Inc.",harvard.edu,2
35,AS49981 WorldStream B.V.,"AS13335 Cloudflare, Inc.",delugerpg.com,2
36,AS49981 WorldStream B.V.,AS174 Cogent Communications,friv.com,2
37,AS174 Cogent Communications,"AS30633 Leaseweb USA, Inc.",friv.com,2
38,AS49981 WorldStream B.V.,"AS3267 Federal State Institution ""Federal Scientific Research Institute for System Analysis of the Russian Academy of Sciences""",kongregate.com,2
39,"AS3267 Federal State Institution ""Federal Scientific Research Institute for System Analysis of the Russian Academy of Sciences""","AS16509 Amazon.com, Inc.",kongregate.com,2
40,AS49981 WorldStream B.V.,"AS3267 Federal State Institution ""Federal Scientific Research Institute for System Analysis of the Russian Academy of Sciences""",miniclip.com,2
41,"AS3267 Federal State Institution ""Federal Scientific Research Institute for System Analysis of the Russian Academy of Sciences""","AS16509 Amazon.com, Inc.",miniclip.com,2
42,AS49981 WorldStream B.V.,"AS13335 Cloudflare, Inc.",notdoppler.com,2
43,AS49981 WorldStream B.V.,"AS3267 Federal State Institution ""Federal Scientific Research Institute for System Analysis of the Russian Academy of Sciences""",guinnessworldrecords.com,2
44,"AS3267 Federal State Institution ""Federal Scientific Research Institute for System Analysis of the Russian Academy of Sciences""","AS16509 Amazon.com, Inc.",guinnessworldrecords.com,2
45,AS49981 WorldStream B.V.,AS174 Cogent Communications,fearp.usp.br,2
46,AS174 Cogent Communications,AS1916 Rede Nacional de Ensino e Pesquisa,fearp.usp.br,2
