IP,label,loc
146.97.33.57,AS786 Jisc Services Limited,"51.5153,-0.10931"
146.97.38.38,AS786 Jisc Services Limited,"51.5153,-0.10931"
146.97.74.34,AS786 Jisc Services Limited,"55.9533,-3.18827"
146.97.156.78,AS786 Jisc Services Limited,"55.9533,-3.18827"
192.41.103.209,AS786 Jisc Services Limited,"55.9468,-3.2012"
129.215.97.20,AS786 Jisc Services Limited,"55.8251,-3.0523"
190.2.138.3,AS49981 WorldStream B.V.,"51.9934,4.2158"
109.236.95.230,AS49981 WorldStream B.V.,"51.9934,4.2158"
109.236.95.173,AS49981 WorldStream B.V.,"51.9934,4.2158"
195.22.213.126,AS6762 TELECOM ITALIA SPARKLE S.p.A.,"52.3702,4.89517"
93.186.128.57,AS6762 TELECOM ITALIA SPARKLE S.p.A.,"41.7652,12.3405"
195.22.205.9,AS6762 TELECOM ITALIA SPARKLE S.p.A.,"41.7652,12.3405"
151.101.66.133,"AS54113 Fastly, Inc.","37.721,-122.391"
190.2.138.3,AS49981 WorldStream B.V.,"51.9934,4.2158"
109.236.95.226,AS49981 WorldStream B.V.,"51.9934,4.2158"
109.236.95.108,AS49981 WorldStream B.V.,"51.9934,4.2158"
141.101.65.52,"AS13335 Cloudflare, Inc.","52.3675,4.9041"
172.71.100.4,"AS13335 Cloudflare, Inc.","52.3675,4.9041"
104.26.3.57,"AS13335 Cloudflare, Inc.","43.6532,-79.3832"
190.2.138.3,AS49981 WorldStream B.V.,"51.9934,4.2158"
109.236.95.226,AS49981 WorldStream B.V.,"51.9934,4.2158"
154.54.57.253,AS174 Cogent Communications,"51.9244,4.47773"
154.54.42.85,AS174 Cogent Communications,"51.5072,-0.127586"
154.54.40.110,AS174 Cogent Communications,"38.9031,-77.0608"
154.54.30.66,AS174 Cogent Communications,"38.9031,-77.0608"
38.122.62.10,AS174 Cogent Communications,"38.8957,-77.0443"
173.208.126.45,"AS30633 Leaseweb USA, Inc.","38.7493,-77.4719"
207.244.69.244,"AS30633 Leaseweb USA, Inc.","42.362,-71.0636"
190.2.138.3,AS49981 WorldStream B.V.,"51.9934,4.2158"
109.236.95.226,AS49981 WorldStream B.V.,"51.9934,4.2158"
109.236.95.108,AS49981 WorldStream B.V.,"51.9934,4.2158"
80.249.210.100,"AS3267 Federal State Institution ""Federal Scientific Research Institute for System Analysis of the Russian Academy of Sciences""","52.2973,4.7946"
13.227.219.24,"AS16509 Amazon.com, Inc.","52.3667,4.89454"
190.2.138.2,AS49981 WorldStream B.V.,"51.9934,4.2158"
109.236.95.224,AS49981 WorldStream B.V.,"51.9934,4.2158"
109.236.95.167,AS49981 WorldStream B.V.,"51.9934,4.2158"
80.249.210.100,"AS3267 Federal State Institution ""Federal Scientific Research Institute for System Analysis of the Russian Academy of Sciences""","52.2973,4.7946"
18.65.39.98,"AS16509 Amazon.com, Inc.","52.3667,4.89454"
190.2.138.3,AS49981 WorldStream B.V.,"51.9934,4.2158"
109.236.95.230,AS49981 WorldStream B.V.,"51.9934,4.2158"
109.236.95.106,AS49981 WorldStream B.V.,"51.9934,4.2158"
141.101.65.52,"AS13335 Cloudflare, Inc.","52.3675,4.9041"
172.71.96.4,"AS13335 Cloudflare, Inc.","52.3675,4.9041"
104.22.29.219,"AS13335 Cloudflare, Inc.","43.6532,-79.3832"
190.2.138.2,AS49981 WorldStream B.V.,"51.9934,4.2158"
109.236.95.228,AS49981 WorldStream B.V.,"51.9934,4.2158"
109.236.95.106,AS49981 WorldStream B.V.,"51.9934,4.2158"
80.249.210.100,"AS3267 Federal State Institution ""Federal Scientific Research Institute for System Analysis of the Russian Academy of Sciences""","52.2973,4.7946"
18.239.94.48,"AS16509 Amazon.com, Inc.","53.3498,-6.26031"
190.2.138.2,AS49981 WorldStream B.V.,"51.9934,4.2158"
109.236.95.224,AS49981 WorldStream B.V.,"51.9934,4.2158"
154.54.39.217,AS174 Cogent Communications,"51.9244,4.47773"
154.54.30.185,AS174 Cogent Communications,"51.5072,-0.127586"
154.54.40.106,AS174 Cogent Communications,"38.9031,-77.0608"
154.54.7.158,AS174 Cogent Communications,"33.749,-84.388"
154.54.24.146,AS174 Cogent Communications,"25.7617,-80.1918"
154.54.88.226,AS174 Cogent Communications,"25.7617,-80.1918"
38.88.165.74,AS174 Cogent Communications,"25.7824,-80.1931"
200.143.255.90,AS1916 Rede Nacional de Ensino e Pesquisa,"-22.8222,-43.4312"
143.107.0.184,AS28571 UNIVERSIDADE DE SAO PAULO,"-23.6283,-46.6409"
143.107.0.14,AS28571 UNIVERSIDADE DE SAO PAULO,"-23.6283,-46.6409"
143.107.159.1,AS28571 UNIVERSIDADE DE SAO PAULO,"-21.2244,-47.8239"
143.107.159.94,AS28571 UNIVERSIDADE DE SAO PAULO,"-21.2244,-47.8239"
143.107.205.12,AS28571 UNIVERSIDADE DE SAO PAULO,"-21.2244,-47.8239"
190.2.138.3,AS49981 WorldStream B.V.,"51.9934,4.2158"
109.236.95.226,AS49981 WorldStream B.V.,"51.9934,4.2158"
109.236.95.108,AS49981 WorldStream B.V.,"51.9934,4.2158"
157.240.70.60,"AS32934 Facebook, Inc.","52.3667,4.89454"
129.134.47.194,"AS32934 Facebook, Inc.","52.3667,4.89454"
129.134.48.53,"AS32934 Facebook, Inc.","52.3667,4.89454"
173.252.67.137,"AS32934 Facebook, Inc.","43.6532,-79.3832"
157.240.247.35,"AS32934 Facebook, Inc.","52.3759,4.8975"
190.2.138.2,AS49981 WorldStream B.V.,"51.9934,4.2158"
109.236.95.224,AS49981 WorldStream B.V.,"51.9934,4.2158"
109.236.95.108,AS49981 WorldStream B.V.,"51.9934,4.2158"
157.240.70.60,"AS32934 Facebook, Inc.","52.3667,4.89454"
129.134.47.194,"AS32934 Facebook, Inc.","52.3667,4.89454"
129.134.48.47,"AS32934 Facebook, Inc.","52.3667,4.89454"
173.252.67.121,"AS32934 Facebook, Inc.","43.6532,-79.3832"
157.240.247.174,"AS32934 Facebook, Inc.","52.3759,4.8975"
37.19.199.156,AS212238 Datacamp Limited,"40.7123,-74.0068"
185.229.188.174,AS60068 Datacamp Limited,"50.0883,14.4124"
62.115.191.217,AS1299 Arelion Sweden AB,"40.7128,-74.006"
72.14.204.154,AS15169 Google LLC,"37.422,-122.084"
142.250.63.91,AS15169 Google LLC,"37.422,-122.084"
142.250.224.245,AS15169 Google LLC,"37.422,-122.084"
172.217.165.142,AS15169 Google LLC,"40.7128,-74.006"
37.19.199.156,AS212238 Datacamp Limited,"40.7123,-74.0068"
185.229.188.174,AS60068 Datacamp Limited,"50.0883,14.4124"
62.115.191.217,AS1299 Arelion Sweden AB,"40.7128,-74.006"
